DoseRespID,ObsID,Dose,DoseUnit,TotalAnimals,WithTumours
27282,5,0,mg/kg bw,50,0
69907,5,40,mg/kg bw,50,0
105505,5,20,mg/kg bw,50,0
120466,5,80,mg/kg bw,50,1
27386,134,0,mg/kg bw,50,0
69659,134,20,mg/kg bw,50,0
69908,134,40,mg/kg bw,50,1
70155,134,80,mg/kg bw,50,0
27391,140,0,ppm,50,0
79786,140,1250,ppm,50,1
101866,140,625,ppm,50,0
108782,140,312,ppm,50,0
27392,141,0,ppm,50,0
80096,141,312,ppm,50,1
87023,141,1250,ppm,50,0
123484,141,625,ppm,50,0
27416,178,0,mg/kg bw,98,0
64238,178,0.01,mg/kg bw,98,0
64265,178,3,mg/kg bw,98,0
64404,178,1,mg/kg bw,98,0
64713,178,0.1,mg/kg bw,98,0
64739,178,0.3,mg/kg bw,98,1
65225,178,3,mg/kg bw,98,0
27433,204,0,ppm,54,2
75144,204,100,ppm,50,2
82445,204,500,ppm,49,1
118308,204,5,ppm,50,1
27434,205,0,ppm,107,2
75232,205,100,ppm,50,2
96869,205,500,ppm,49,1
118433,205,5,ppm,50,1
27435,206,0,ppm,54,1
96803,206,5,ppm,50,1
111077,206,100,ppm,54,0
118285,206,500,ppm,50,1
27436,207,0,ppm,106,1
68197,207,5,ppm,50,1
96870,207,500,ppm,50,1
111176,207,100,ppm,106,0
27454,228,0,mg/kg bw,50,1
84386,228,40,mg/kg bw,50,0
105506,228,20,mg/kg bw,50,0
106024,228,80,mg/kg bw,50,0
27457,232,0,ppm,50,0
79787,232,1250,ppm,50,0
94806,232,625,ppm,50,0
101570,232,312,ppm,50,1
27468,247,0,ppm,50,0
68016,247,100,ppm,50,0
111116,247,500,ppm,50,0
111151,247,5,ppm,50,0
27469,248,0,ppm,50,0
89626,248,100,ppm,50,0
89714,248,5,ppm,50,0
111216,248,500,ppm,50,0
27471,251,0,mg/kg bw,50,1
91779,251,80,mg/kg bw,50,0
98617,251,40,mg/kg bw,50,0
105507,251,20,mg/kg bw,50,0
27472,252,0,ppm,50,0
101257,252,1250,ppm,50,1
101571,252,312,ppm,50,0
116307,252,625,ppm,50,0
27484,266,0,mg/kg bw,50,0
84123,266,20,mg/kg bw,50,0
91780,266,80,mg/kg bw,50,1
120204,266,40,mg/kg bw,50,0
27493,279,0,mg/kg bw,50,0
84387,279,40,mg/kg bw,50,0
84651,279,80,mg/kg bw,50,1
98337,279,20,mg/kg bw,50,0
27494,280,0,mg/kg bw,50,1
84388,280,40,mg/kg bw,50,0
98889,280,80,mg/kg bw,50,0
105508,280,20,mg/kg bw,50,0
27504,295,0,mg/kg bw,50,0
69660,295,20,mg/kg bw,50,1
77113,295,40,mg/kg bw,50,0
91781,295,80,mg/kg bw,50,0
27534,327,0,mg/kg bw,50,0
77114,327,40,mg/kg bw,50,0
84124,327,20,mg/kg bw,50,0
84652,327,80,mg/kg bw,50,1
27536,331,0,ppm,50,0
115656,331,1250,ppm,50,3
116308,331,625,ppm,50,0
123161,331,312,ppm,50,0
62,362,0,mg/kg bw,15,1
14678,362,12,mg/kg bw,15,1
18758,362,1.5,mg/kg bw,15,0
22253,362,0.75,mg/kg bw,15,0
26606,362,3,mg/kg bw,15,0
26626,362,6,mg/kg bw,15,0
27569,373,0,mg/kg bw,50,0
98890,373,80,mg/kg bw,50,0
112759,373,20,mg/kg bw,50,0
113011,373,40,mg/kg bw,50,1
27572,378,0,ppm,54,1
75145,378,100,ppm,54,0
89595,378,5,ppm,54,0
96771,378,500,ppm,54,0
27573,379,0,ppm,107,1
82495,379,100,ppm,107,0
89669,379,500,ppm,107,0
96901,379,5,ppm,107,0
27574,380,0,ppm,50,0
68153,380,500,ppm,50,0
89715,380,5,ppm,50,0
111177,380,100,ppm,50,0
27604,426,0,mg/kg bw,50,4
76828,426,20,mg/kg bw,50,5
84389,426,40,mg/kg bw,50,5
84653,426,80,mg/kg bw,50,3
27605,427,0,mg/kg bw,50,10
84125,427,20,mg/kg bw,50,6
91782,427,80,mg/kg bw,50,6
98618,427,40,mg/kg bw,50,7
88,432,0,ppm,50,2
22197,432,625,ppm,50,8
27173,432,1250,ppm,50,8
27210,432,312,ppm,50,5
27608,433,0,ppm,50,9
94172,433,1250,ppm,50,7
109114,433,625,ppm,50,4
123162,433,312,ppm,50,17
106,475,0,ppm,49,0
16417,475,100,ppm,49,0
18099,475,5,ppm,49,0
25034,475,500,ppm,49,1
107,476,0,ppm,50,0
19873,476,5,ppm,50,0
26679,476,100,ppm,50,0
26683,476,500,ppm,49,1
27633,477,0,ppm,50,0
96740,477,100,ppm,50,0
96772,477,500,ppm,50,0
111152,477,5,ppm,50,0
27634,478,0,ppm,50,0
89627,478,100,ppm,50,0
104064,478,5,ppm,50,0
111217,478,500,ppm,50,0
115,533,0,mg/kg bw,50,2
15031,533,40,mg/kg bw,50,3
16733,533,80,mg/kg bw,50,2
23536,533,20,mg/kg bw,50,3
