DoseRespID,ObsID,Dose,DoseUnit,TotalAnimals,WithTumours
27282,5,0,mg/kg bw,50,0
27386,134,0,mg/kg bw,50,0
27391,140,0,ppm,50,0
27392,141,0,ppm,50,0
27416,178,0,mg/kg bw,98,0
27433,204,0,ppm,54,2
27434,205,0,ppm,107,2
27435,206,0,ppm,54,1
27436,207,0,ppm,106,1
27454,228,0,mg/kg bw,50,1
27457,232,0,ppm,50,0
27468,247,0,ppm,50,0
27469,248,0,ppm,50,0
27471,251,0,mg/kg bw,50,1
27472,252,0,ppm,50,0
27484,266,0,mg/kg bw,50,0
27493,279,0,mg/kg bw,50,0
27494,280,0,mg/kg bw,50,1
27504,295,0,mg/kg bw,50,0
27534,327,0,mg/kg bw,50,0
27536,331,0,ppm,50,0
62,362,0,mg/kg bw,15,1
27569,373,0,mg/kg bw,50,0
27572,378,0,ppm,54,1
27573,379,0,ppm,107,1
27574,380,0,ppm,50,0
27604,426,0,mg/kg bw,50,4
27605,427,0,mg/kg bw,50,10
88,432,0,ppm,50,2
27608,433,0,ppm,50,9
106,475,0,ppm,49,0
107,476,0,ppm,50,0
27633,477,0,ppm,50,0
27634,478,0,ppm,50,0
115,533,0,mg/kg bw,50,2
27682,534,0,mg/kg bw,50,0
119,540,0,ppm,50,3
27685,541,0,ppm,50,0
27709,572,0,mg/kg bw,98,1
27734,602,0,ppm,54,1
27735,603,0,ppm,107,1
27736,604,0,ppm,54,2
27737,605,0,ppm,106,3
27743,614,0,mg/kg bw,50,0
27783,668,0,mg/kg bw,50,2
27785,671,0,ppm,50,1
27808,696,0,mg/kg bw,50,0
28069,1012,0,mg/kg bw,50,2
28071,1015,0,ppm,50,0
214,1032,0,mg/kg bw,80,0
28093,1044,0,ppm,54,1
28094,1045,0,ppm,106,1
28117,1076,0,mg/kg bw,50,0
227,1101,0,mg/kg bw,15,1
28140,1109,0,mg/kg bw,50,0
28170,1159,0,mg/kg bw,50,3
28171,1160,0,mg/kg bw,50,9
255,1165,0,ppm,50,2
28174,1166,0,ppm,50,7
272,1214,0,ppm,49,0
273,1215,0,ppm,50,0
28206,1216,0,ppm,50,0
28207,1217,0,ppm,50,0
28226,1244,0,mg/kg bw,50,0
28227,1245,0,mg/kg bw,50,0
28228,1248,0,ppm,50,0
28229,1249,0,ppm,50,0
286,1266,0,mg/kg bw,98,0
28257,1281,0,ppm,54,1
28258,1282,0,ppm,106,2
28337,1389,0,mg/kg bw,50,0
28338,1390,0,mg/kg bw,50,0
28339,1391,0,mg/kg bw,50,7
28341,1396,0,mg/kg bw,15,0
