"ObsID";"StudyID";"TumourType";"TumourSite";"ObsResult";"pValue";"Operator";"TD50_Gold";"TD50_Lhasa"
5;26;"Carcinoma- bilateral";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
134;744;"Adenoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
140;5;"Adenoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
141;192;"Adenoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
178;452;"Adenoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
204;487;"Adenoma";"Adrenal gland cortex";"Not specified";0.3812;"<=";0.0;0.0
205;488;"Adenoma";"Adrenal gland cortex";"Not specified";0.2852;"<=";0.0;0.0
206;1129;"Adenoma";"Adrenal gland cortex";"Not specified";0.5041;"<=";0.0;0.0
207;490;"Adenoma";"Adrenal gland cortex";"Not specified";0.4384;"<=";0.0;0.0
228;744;"Carcinoma";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
232;192;"Carcinoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
247;487;"Carcinoma";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
248;488;"Carcinoma";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
251;1068;"Fibrosarcoma";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
252;190;"Fibrosarcoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
266;26;"Hepatoblastoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
279;1068;"Carcinoma- hepatocellular";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
280;26;"Carcinoma- hepatocellular";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
295;26;"Hepatocholangiocarcinoma";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
327;744;"Sarcoma- histiocytic";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
331;190;"Sarcoma- histiocytic";"Adrenal gland cortex";"Not specified";0.1212;"<=";0.0;0.0
362;457;"Leukaemia- erythrocytic";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;20.318618
373;743;"Leukaemia- granulocytic";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
378;487;"Leukaemia- granulocytic";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
379;488;"Leukaemia- granulocytic";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
380;490;"Leukaemia- granulocytic";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
426;743;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";0.2565;"<=";0.0;0.0
427;744;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
432;5;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";0.038;"<=";0.0;255.476635
433;192;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";0.0353;"<=";0.0;0.0
475;487;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;643.368266
476;488;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";0.4949;"<=";0.0;674.120445
477;1129;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
478;490;"Leukaemia- mononuclear cell";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
533;1068;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";0.3189;"<=";0.0;0.0
534;26;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
540;190;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";0.2232;"<=";0.0;0.0
541;191;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
572;452;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";0.25;"<=";0.0;0.0
602;487;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
603;488;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
604;1129;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
605;490;"Lymphoma- malignant";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
614;744;"Mesothelioma- malignant";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
668;26;"Adenoma";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
671;190;"Adenoma";"Adrenal gland cortex";"Not specified";1.0;"=";0.0;0.0
696;1068;"Sarcoma- histiocytic";"Adrenal gland cortex";"Not specified";0.5;"<=";0.0;0.0
1012;744;"Pheochromocytoma- benign- bilateral";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1015;192;"Pheochromocytoma- benign- bilateral";"Adrenal gland medulla";"Not specified";0.2475;"<=";0.0;0.0
1032;452;"Pheochromocytoma- benign- bilateral";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;293.32029
1044;1129;"Pheochromocytoma- benign- bilateral";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1045;490;"Pheochromocytoma- benign- bilateral";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1076;26;"Hepatoblastoma";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1101;457;"Leukaemia- erythrocytic";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;20.318618
