"ChemID";"StudyID";"Species";"Strain";"Sex";"Exposure_Time";"Exposure_Unit";"Experiment_Time";"Experiment_Unit";"Route";"Notes"
"43";5;"Rat";"Fischer 344";"Female";2.0;"year(s)";2.0;"year(s)";"Diet";""
"155";26;"Mouse";"B6C3F1/N";"Male";2.0;"year(s)";2.0;"year(s)";"Gavage";""
"43";186;"Mouse";"B6C3F1";"Female";92.0;"day(s)";13.0;"week(s)";"Diet";""
"43";187;"Mouse";"B6C3F1";"Male";92.0;"day(s)";13.0;"week(s)";"Diet";""
"43";188;"Rat";"Fischer 344";"Female";92.0;"day(s)";13.0;"week(s)";"Diet";""
"43";189;"Rat";"Fischer 344";"Male";92.0;"day(s)";13.0;"week(s)";"Diet";""
"43";190;"Mouse";"B6C3F1/N";"Female";729.0;"day(s)";2.0;"year(s)";"Diet";""
"43";191;"Mouse";"B6C3F1/N";"Male";731.0;"day(s)";2.0;"year(s)";"Diet";""
"43";192;"Rat";"Fischer 344";"Male";729.0;"day(s)";2.0;"year(s)";"Diet";""
"64";290;"Mouse";"B6C3F1";"Female";92.0;"day(s)";13.0;"week(s)";"Diet";""
"64";291;"Rat";"Fischer 344";"Female";95.0;"day(s)";13.0;"week(s)";"Diet";""
"64";292;"Rat";"Fischer 344";"Male";95.0;"day(s)";13.0;"week(s)";"Diet";""
"64";293;"Mouse";"B6C3F1";"Female";92.0;"day(s)";13.0;"week(s)";"Dermal";""
"64";294;"Rat";"Fischer 344";"Female";95.0;"day(s)";13.0;"week(s)";"Dermal";""
"64";295;"Rat";"Fischer 344";"Male";94.0;"day(s)";13.0;"week(s)";"Dermal";""
"87";392;"Mouse";"B6C3F1";"Female";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"87";393;"Mouse";"B6C3F1";"Male";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"87";394;"Rat";"Fischer 344";"Female";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"87";395;"Rat";"Fischer 344";"Male";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"101";452;"Rat";"Harlan";"Female";731.0;"day(s)";2.0;"year(s)";"Gavage";""
"102";453;"Mouse";"B6C3F1";"Female";93.0;"day(s)";13.0;"week(s)";"Dermal";""
"102";454;"Mouse";"B6C3F1";"Male";93.0;"day(s)";13.0;"week(s)";"Dermal";""
"102";455;"Rat";"Fischer 344";"Female";93.0;"day(s)";13.0;"week(s)";"Dermal";""
"102";456;"Rat";"Fischer 344";"Male";93.0;"day(s)";13.0;"week(s)";"Dermal";""
"102";457;"Mouse";"FVB/N hemizygous";"Female";187.0;"day(s)";26.0;"week(s)";"Dermal";""
"102";458;"Mouse";"FVB/N hemizygous";"Male";185.0;"day(s)";26.0;"week(s)";"Dermal";""
"104";471;"Mouse";"B6C3F1/N";"Female";92.0;"day(s)";13.0;"week(s)";"Dermal";""
"104";472;"Mouse";"B6C3F1/N";"Male";92.0;"day(s)";13.0;"week(s)";"Dermal";""
"104";473;"Rat";"Fischer 344";"Female";93.0;"day(s)";13.0;"week(s)";"Dermal";""
"104";474;"Rat";"Fischer 344";"Male";93.0;"day(s)";13.0;"week(s)";"Dermal";""
"104";475;"Mouse";"B6C3F1/N";"Female";18.0;"day(s)";2.0;"week(s)";"Dermal";""
"104";476;"Mouse";"B6C3F1/N";"Male";18.0;"day(s)";2.0;"week(s)";"Dermal";""
"104";477;"Rat";"Fischer 344";"Female";17.0;"day(s)";2.0;"week(s)";"Dermal";""
"104";478;"Rat";"Fischer 344";"Male";17.0;"day(s)";2.0;"week(s)";"Dermal";""
"105";479;"Mouse";"B6C3F1";"Female";93.0;"day(s)";13.0;"week(s)";"Gavage";""
"105";480;"Mouse";"B6C3F1";"Male";93.0;"day(s)";13.0;"week(s)";"Gavage";""
"105";481;"Rat";"Fischer 344";"Female";95.0;"day(s)";13.0;"week(s)";"Gavage";""
"105";482;"Rat";"Fischer 344";"Male";95.0;"day(s)";13.0;"week(s)";"Gavage";""
"108";487;"Rat";"Sprague-Dawley";"Female";737.0;"day(s)";2.0;"year(s)";"Diet";""
"108";488;"Rat";"Sprague-Dawley";"Female";755.0;"day(s)";2.0;"year(s)";"Diet";""
"108";489;"Rat";"Sprague-Dawley";"Female";755.0;"day(s)";2.0;"year(s)";"Diet";""
"108";490;"Rat";"Sprague-Dawley";"Male";755.0;"day(s)";2.0;"year(s)";"Diet";""
"108";491;"Rat";"Sprague-Dawley";"Male";755.0;"day(s)";2.0;"year(s)";"Diet";""
"108";492;"Rat";"Sprague-Dawley";"Female";139.0;"day(s)";20.0;"week(s)";"Diet";""
"108";493;"Rat";"Sprague-Dawley";"Female";159.0;"day(s)";20.0;"week(s)";"Diet";""
"109";494;"Mouse";"B6C3F1/N";"Female";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"109";495;"Mouse";"B6C3F1/N";"Male";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"109";496;"Rat";"Wistar Han";"Female";95.0;"day(s)";13.0;"week(s)";"Gavage";""
"109";497;"Rat";"Wistar Han";"Male";95.0;"day(s)";13.0;"week(s)";"Gavage";""
"109";498;"Mouse";"B6C3F1/N";"Female";17.0;"day(s)";2.0;"week(s)";"Gavage";""
"109";499;"Mouse";"B6C3F1/N";"Male";17.0;"day(s)";2.0;"week(s)";"Gavage";""
"109";500;"Rat";"Fischer 344/NTac";"Female";16.0;"day(s)";2.0;"week(s)";"Gavage";""
"109";501;"Rat";"Fischer 344/NTac";"Male";16.0;"day(s)";2.0;"week(s)";"Gavage";""
"120";548;"Mouse";"B6C3F1";"Female";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"120";549;"Mouse";"B6C3F1";"Male";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"120";550;"Rat";"Fischer 344";"Female";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"120";551;"Rat";"Fischer 344";"Male";92.0;"day(s)";13.0;"week(s)";"Gavage";""
"128";568;"Mouse";"B6C3F1";"Female";97.0;"day(s)";13.0;"week(s)";"Inhalation";""
"128";569;"Rat";"Fischer 344";"Male";92.0;"day(s)";13.0;"week(s)";"Inhalation";""
"134";591;"Mouse";"B6C3F1";"Female";95.0;"day(s)";13.0;"week(s)";"Gavage";""
"134";592;"Mouse";"B6C3F1";"Male";95.0;"day(s)";13.0;"week(s)";"Gavage";""
"134";593;"Rat";"Fischer 344";"Female";94.0;"day(s)";13.0;"week(s)";"Gavage";""
"134";594;"Rat";"Fischer 344";"Male";94.0;"day(s)";13.0;"week(s)";"Gavage";""
"140";635;"Mouse";"MMTV/NEU (Tg.Nk)";"Female";184.0;"day(s)";26.0;"week(s)";"Diet";""
"140";636;"Mouse";"MMTV/NEU (Tg.Nk)";"Female";170.0;"day(s)";26.0;"week(s)";"Diet";""
"140";637;"Mouse";"MMTV/NEU (Tg.Nk)";"Female";184.0;"day(s)";26.0;"week(s)";"Diet";""
"155";735;"Mouse";"B6C3F1";"Female";93.0;"day(s)";13.0;"week(s)";"Gavage";""
"155";736;"Mouse";"B6C3F1";"Male";93.0;"day(s)";13.0;"week(s)";"Gavage";""
"155";737;"Rat";"Fischer 344";"Female";93.0;"day(s)";13.0;"week(s)";"Gavage";""
"155";738;"Rat";"Fischer 344";"Male";93.0;"day(s)";13.0;"week(s)";"Gavage";""
"155";739;"Mouse";"B6C3F1";"Female";17.0;"day(s)";2.0;"week(s)";"Gavage";""
"155";740;"Mouse";"B6C3F1";"Male";17.0;"day(s)";2.0;"week(s)";"Gavage";""
"155";741;"Rat";"Fischer 344";"Female";17.0;"day(s)";2.0;"week(s)";"Gavage";""
"155";742;"Rat";"Fischer 344";"Male";17.0;"day(s)";2.0;"week(s)";"Gavage";""
"155";743;"Rat";"Fischer 344";"Female";732.0;"day(s)";2.0;"year(s)";"Gavage";""
"155";744;"Rat";"Fischer 344";"Male";727.0;"day(s)";2.0;"year(s)";"Gavage";""
"155";1068;"Mouse";"B6C3F1/N";"Female";2.0;"year(s)";2.0;"year(s)";"Gavage";""
"64";1112;"Mouse";"B6C3F1";"Male";13.0;"week(s)";13.0;"week(s)";"Diet";""
"64";1113;"Mouse";"B6C3F1";"Male";13.0;"week(s)";13.0;"week(s)";"Dermal";""
"108";1129;"Rat";"Sprague-Dawley";"Male";107.0;"week(s)";2.0;"year(s)";"Diet";""
"108";1130;"Rat";"Sprague-Dawley";"Female";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1131;"Rat";"Sprague-Dawley";"Male";20.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1132;"Rat";"Sprague-Dawley";"Male";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1133;"Rat";"Sprague-Dawley";"Female";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1134;"Rat";"Sprague-Dawley";"Female";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1135;"Rat";"Sprague-Dawley";"Female";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1136;"Rat";"Sprague-Dawley";"Male";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1137;"Rat";"Sprague-Dawley";"Male";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1138;"Rat";"Sprague-Dawley";"Male";23.0;"week(s)";20.0;"week(s)";"Diet";""
"108";1139;"Rat";"Sprague-Dawley";"Male";23.0;"week(s)";20.0;"week(s)";"Diet";""
"111";1140;"Mouse";"B6C3F1";"Female";78.0;"week(s)";2.0;"year(s)";"Intraperitoneal";""
"111";1141;"Mouse";"B6C3F1";"Male";86.0;"week(s)";2.0;"year(s)";"Intraperitoneal";""
"128";1149;"Mouse";"B6C3F1";"Male";14.0;"week(s)";13.0;"week(s)";"Inhalation";""
"128";1150;"Rat";"Fischer 344";"Female";13.0;"week(s)";13.0;"week(s)";"Inhalation";""
"140";1154;"Mouse";"MMTV/NEU (Tg.Nk)";"Female";18.0;"week(s)";26.0;"week(s)";"Diet";""
"140";1155;"Mouse";"MMTV/NEU (Tg.Nk)";"Female";26.0;"week(s)";26.0;"week(s)";"Diet";""
"241";1302;"Rat";"Wistar";"Mixed";52.0;"week(s)";123.0;"week(s)";"Diet";"Irregular dosing schedules were used. Test subject survival was decreased"
"241";1303;"Cynomolgus monkey";"";"Mixed";903.0;"week(s)";903.0;"week(s)";"Gavage";"The number of animals represents the number alive when the first tumour was observed. Tumours from animals surviving longer than the last treated animal were discounted from the analysis"
"241";1304;"Rat";"Wistar";"Male";54.0;"week(s)";69.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"241";1305;"Rat";"ACI/n";"Male";120.0;"week(s)";122.0;"week(s)";"Diet";"Exposure and experiment times are mean values across all dose groups"
