ChemID,SummID,Species,Sex,SumResult,TD50_Lhasa,TD50_Gold,Notes
241,15,Rat,Male,Positive,0.169,0.152,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
241,16,Rat,Not specified,Positive,0.169,0.152,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
363,60,Mouse,Male,Positive,1.99,1.45,TD50 represents the harmonic mean of more than one positive study
376,63,Rat,Female,Positive,0.00348,0.0032,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
376,64,Rat,Male,Positive,0.00348,0.0032,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
376,65,Rat,Not specified,Positive,0.00348,0.0032,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
451,100,Rat,Female,Positive,125,125,TD50 represents the harmonic mean of more than one positive study
451,101,Rat,Male,Positive,125,125,TD50 represents the harmonic mean of more than one positive study
536,125,Rat,Female,Positive,12.1,11.9,TD50 represents the harmonic mean of more than one positive study
536,126,Rat,Male,Positive,12.1,11.9,TD50 represents the harmonic mean of more than one positive study
567,133,Rat,Male,Positive,97.7,167,TD50 represents the harmonic mean of more than one positive study
672,156,Mouse,Female,Positive,2.32,2.51,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
672,157,Mouse,Male,Positive,2.32,2.51,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
672,158,Rat,Female,Positive,2.49,4.78,"TD50 represents the harmonic mean of more than one positive study. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
672,159,Rat,Male,Positive,2.49,4.78,"TD50 represents the harmonic mean of more than one positive study. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
1002,273,Mouse,Female,Positive,70.3,71.2,TD50 represents the harmonic mean of more than one positive study
1002,274,Mouse,Male,Positive,70.3,71.2,TD50 represents the harmonic mean of more than one positive study
1004,275,Rat,Female,Positive,171,1.97,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
1004,276,Rat,Male,Positive,171,1.97,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
1035,287,Mouse,Female,Positive,50.9,27.1,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
1035,288,Mouse,Male,Positive,50.9,27.1,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
1035,289,Mouse,Not specified,Positive,50.9,27.1,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
1051,294,Mouse,Female,Positive,90.5,90.5,TD50 represents the harmonic mean of more than one positive study
1051,295,Mouse,Male,Positive,90.5,90.5,TD50 represents the harmonic mean of more than one positive study
1052,296,Mouse,Female,Positive,4.44,4.39,TD50 represents the harmonic mean of more than one positive study
1052,297,Mouse,Male,Positive,4.44,4.39,TD50 represents the harmonic mean of more than one positive study
1052,298,Rat,Female,Positive,5.61,3.96,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
1052,299,Rat,Male,Positive,5.61,3.96,"TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies. TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated"
1082,313,Mouse,Female,Positive,33.7,33.6,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
1082,314,Mouse,Male,Positive,33.7,33.6,TD50 represents the harmonic mean of more than one positive study. Large variation (>10-fold) in TD50 was observed between multiple positive studies
1082,315,Rat,Female,Positive,49.8,27.8,TD50 represents the harmonic mean of more than one positive study
1082,316,Rat,Male,Positive,49.8,27.8,TD50 represents the harmonic mean of more than one positive study
1087,318,Mouse,Female,Positive,0.0447,0.0391,TD50 represents the harmonic mean of more than one positive study
1087,319,Mouse,Male,Positive,0.0447,0.0391,TD50 represents the harmonic mean of more than one positive study
1087,320,Rat,Female,Positive,0,0.223,Large variation (>10-fold) in TD50 was observed between multiple positive studies
1087,321,Rat,Male,Positive,0,0.223,Large variation (>10-fold) in TD50 was observed between multiple positive studies
1177,352,Rat,Female,Positive,1.16,1.14,TD50 represents the harmonic mean of more than one positive study
1177,353,Rat,Male,Positive,1.16,1.14,TD50 represents the harmonic mean of more than one positive study
1198,367,Mouse,Male,Positive,0,12.3,"TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated. A 100% tumour incidence was observed and a TD50 could not be calculated. The 99% confidence limit is used in it place"
1283,383,Rat,Male,Positive,0,0.364,"TD50 represents the harmonic mean of more than one positive study, including one study showing 100% tumour incidence for which no TD50 could be calculated. A 100% tumour incidence was observed and a TD50 could not be calculated. The 99% confidence limit is used in it place"
1316,396,Rat,Male,Positive,0,8.85,Positive results are not statistically significant
1399,437,Mouse,Female,Positive,418,515,TD50 represents the harmonic mean of more than one positive study
1399,438,Mouse,Male,Positive,418,515,TD50 represents the harmonic mean of more than one positive study
1437,450,Rat,Female,Positive,522,479,TD50 represents the harmonic mean of more than one positive study
1437,451,Rat,Male,Positive,522,479,TD50 represents the harmonic mean of more than one positive study
1505,475,Mouse,Female,Positive,1.35,1.34,Positive results are not statistically significant
